INFO  - 2014-10-19 11:11:28.895; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-10-19 11:11:28.896; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-10-19 11:11:28.896; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-10-19 11:11:28.896; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-10-19 11:11:28.897; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-10-19 11:11:28.897; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-10-19 11:11:28.897; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-10-19 11:11:28.897; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-10-19 11:11:28.897; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-10-19 11:11:28.899; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-10-19 11:11:28.900; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-10-19 11:11:28.901; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-10-19 11:11:28.909; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-10-19 11:11:28.909; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.910; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.910; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.910; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.910; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.910; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.911; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.911; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.911; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.911; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-10-19 11:11:28.926; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-19 11:11:28.928; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-19 11:11:28.930; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-19 11:11:28.931; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-19 11:11:28.933; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-10-19 11:11:28.946; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
